,0
0,Alabama
1,Arkansas
2,Florida
3,Indiana
4,Iowa
5,Kansas
6,Kentucky
7,Louisiana
8,Michigan
9,Minnesota
10,Mississippi
11,New Jersey
12,Ohio
13,Oklahoma
14,Pennsylvania
15,Wisconsin
